epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.5456,0.1317,2.4883,0.3656,0.000100
2,2.4448,0.3959,2.2849,0.4734,0.000100
3,2.2123,0.3527,1.9743,0.3187,0.000100
4,1.9589,0.3617,1.6873,0.5938,0.000100
5,1.7314,0.5039,1.4310,0.5454,0.000100
6,1.4852,0.5376,1.2138,0.6229,0.000100
7,1.2948,0.6031,1.0501,0.6354,0.000100
8,1.1414,0.6275,0.9380,0.7544,0.000100
9,1.0203,0.6568,0.8231,0.7797,0.000100
10,0.9310,0.6935,0.7478,0.7203,0.000100
11,0.8441,0.7295,0.6587,0.8399,0.000100
12,0.7775,0.7675,0.6013,0.8399,0.000100
13,0.7187,0.7620,0.5377,0.8414,0.000100
14,0.6520,0.8206,0.4817,0.8430,0.000100
15,0.6026,0.8298,0.4378,0.8494,0.000100
16,0.5663,0.8422,0.3930,0.9057,0.000100
17,0.5106,0.8809,0.3494,0.9480,0.000100
18,0.4675,0.9212,0.3198,0.9496,0.000100
19,0.4299,0.9248,0.2868,0.9527,0.000100
20,0.4058,0.9337,0.2739,0.9528,0.000100
21,0.3704,0.9365,0.2468,0.9528,0.000100
22,0.3498,0.9420,0.2271,0.9575,0.000100
23,0.3255,0.9444,0.2122,0.9591,0.000100
24,0.3076,0.9450,0.1983,0.9606,0.000100
25,0.2730,0.9515,0.1846,0.9623,0.000100
26,0.2584,0.9525,0.1700,0.9591,0.000100
27,0.2472,0.9472,0.1633,0.9638,0.000100
28,0.2244,0.9537,0.1504,0.9622,0.000100
29,0.2185,0.9530,0.1436,0.9654,0.000100
30,0.2065,0.9546,0.1416,0.9654,0.000100
31,0.1795,0.9617,0.1330,0.9654,0.000100
32,0.1799,0.9548,0.1260,0.9670,0.000100
33,0.1746,0.9589,0.1258,0.9654,0.000100
34,0.1630,0.9626,0.1148,0.9654,0.000100
35,0.1533,0.9615,0.1089,0.9654,0.000100
36,0.1455,0.9643,0.1037,0.9654,0.000100
37,0.1342,0.9659,0.1041,0.9654,0.000100
38,0.1327,0.9686,0.0981,0.9654,0.000100
39,0.1242,0.9695,0.0958,0.9686,0.000100
40,0.1210,0.9688,0.0965,0.9686,0.000100
41,0.1185,0.9708,0.0889,0.9702,0.000100
42,0.1134,0.9700,0.0913,0.9686,0.000100
43,0.1077,0.9722,0.0917,0.9670,0.000100
44,0.1074,0.9720,0.0909,0.9718,0.000050
45,0.0964,0.9739,0.0837,0.9733,0.000050
46,0.0988,0.9756,0.0856,0.9718,0.000050
47,0.0921,0.9757,0.0806,0.9733,0.000050
48,0.0945,0.9769,0.0831,0.9718,0.000050
49,0.0957,0.9737,0.0842,0.9718,0.000050
50,0.0957,0.9752,0.0816,0.9718,0.000025
51,0.0941,0.9751,0.0815,0.9718,0.000025
52,0.0899,0.9782,0.0810,0.9718,0.000025
